symbol,company,series,purpose,facevalue,ex_date,record_date,book_startdate,book_enddate
"FINPIPE","Finolex Industries Limited","EQ"," Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share","2","15-Apr-2021","16-Apr-2021","-","-"
"716GS2050","Government of India","GS"," Interest Payment","100","15-Apr-2021","17-Apr-2021","-","-"
"KSB","Ksb Limited","EQ"," Annual General Meeting/Dividend - Rs 8.5 Per Share","10","15-Apr-2021","-","17-Apr-2021","29-Apr-2021"
"SHARDAMOTR","Sharda Motor Industries Limited","EQ"," Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share","10","16-Apr-2021","19-Apr-2021","-","-"
"ABB","ABB India Limited","EQ"," Annual General Meeting/Dividend - Rs 5 Per Share","2","19-Apr-2021","-","22-Apr-2021","28-Apr-2021"
"SCHAEFFLER","Schaeffler India Limited","EQ"," Annual General Meeting/Dividend - Rs 38 Per Share","10","19-Apr-2021","-","21-Apr-2021","27-Apr-2021"
"SANOFI","Sanofi India Limited","EQ"," Dividend - Rs 125 Per Share Special Dividend 240 Per Share","10","19-Apr-2021","-","21-Apr-2021","27-Apr-2021"
"VESUVIUS","Vesuvius India Limited","EQ"," Dividend - Rs 7 Per Share","10","19-Apr-2021","20-Apr-2021","-","-"
"MAHINDCIE","Mahindra CIE Automotive Limited","EQ"," Annual General Meeting","10","20-Apr-2021","-","23-Apr-2021","29-Apr-2021"
"HUHTAMAKI","Huhtamaki India Limited","EQ"," Annual General Meeting/Dividend - Rs 3 Per Share","2","20-Apr-2021","-","23-Apr-2021","04-May-2021"
"MUTHOOTFIN","Muthoot Finance Limited","EQ"," Interim Dividend","10","22-Apr-2021","23-Apr-2021","-","-"
"772GS2055","GOVERNMENT OF INDIA","GS"," Interest Payment","100","22-Apr-2021","23-Apr-2021","-","-"
"CASTROLIND","Castrol India Limited","EQ"," Annual General Meeting/Dividend - Rs 3 Per Share","5","22-Apr-2021","-","24-Apr-2021","30-Apr-2021"
"ZUARIGLOB","Zuari Global Limited","EQ"," Interim Dividend","10","27-Apr-2021","28-Apr-2021","-","-"
"NESTLEIND","Nestle India Limited","EQ"," Annual General Meeting/Dividend - Rs 65 Per Share","10","29-Apr-2021","-","01-May-2021","07-May-2021"
"448GS2023","Government of India","GS"," Interest Payment","100","29-Apr-2021","30-Apr-2021","-","-"
"618GS2024","Government of India","GS"," Interest Payment","100","29-Apr-2021","30-Apr-2021","-","-"
"RAIN","Rain Industries Limited","EQ"," Annual General Meeting","2","30-Apr-2021","-","04-May-2021","10-May-2021"
"CRISIL","CRISIL Limited","EQ"," Interim Dividend","1","05-May-2021","06-May-2021","-","-"
"879GS2021","GOVERNMENT OF INDIA","GS"," Interest Payment","100","05-May-2021","06-May-2021","-","-"